year,lag1_PDO,lag2_PDO,lag1_NPGO,lag2_NPGO,lag1_fall_Nino3.4,lag2_fall_Nino3.4,smolt_sock,lag1_log_socksmolt,lag2_log_socksmolt,pink_ind
2007,0.02664176751174353,0.0681711142976805,-0.27948053879667084,-1.111338479662207,0.8698729131949448,-0.422592522727919,-0.35971353780863835,0.838051408841777,-1.2142998273999175,0.9771277064839351
2008,-0.35200273294093337,-0.009973812338770404,0.37047866892641984,-0.3195818472647008,-1.4274998592708152,0.8698729131949448,-0.4600776274061635,0.04968114843960132,0.8288624509195721,-1.007662947311558
2009,-1.4083498299142727,-0.40280477777537677,1.415686611477141,0.34763249926677636,-0.4937090419294163,-1.4274998592708152,-0.6826683220702497,-0.1250046445583561,0.05088105759409779,0.9771277064839351
2010,-0.7819114351975249,-1.498729449714606,0.366273143723393,1.4205886572716964,1.308940118699841,-0.4937090419294163,1.7629046915318067,-0.7020067549656589,-0.12150278722697361,-1.007662947311558
2011,-0.6923767302647471,-0.8488206326343654,1.4228991725496916,0.34331532563985134,-1.5078924461942471,1.308940118699841,-0.5648370530118237,1.455858336310457,-0.6909013659828673,0.9771277064839351
2012,-1.7010125899156312,-0.7559313802174521,1.1065157727449955,1.4279926976570898,-0.9575124280261377,-1.5078924461942471,1.6671374048335459,-0.3522164226639602,1.4385281351540602,-1.007662947311558
2013,-1.5100661273549114,-1.8023572441794145,1.7712893053942884,1.1032099407613176,0.1246954728662123,-0.9575124280261377,0.3841861687783038,1.4229931924597083,-0.3457204481270455,0.9771277064839351
2014,-0.91519835988770315,-1.60425669565763,0.7574574322455364,1.785631903413147,-0.11648228790408285,0.1246954728662123,1.01921652518055,0.805130412401929,1.4060960766542834,-1.007662947311558
2015,0.8603702614039245,-0.9871013451325596,0.07683541647759141,0.7448847877512044,0.6534313330164747,-0.11648228790408285,-0.4327318547168947,1.1625897664535174,0.7963752758365465,0.9771277064839351
2016,1.1938413563066173,0.8549915279107865,-0.8070857576512708,0.046193595920254564,2.261283071485109,0.6534313330164747,1.7533249408586136,-0.07398622138077772,1.149124155760571,-1.007662947311558
2017,0.9823892130243315,1.2009566006880659,-0.37298167284430095,-0.8611939471345841,-0.5926537642967169,2.261283071485109,-0.45075306812840077,1.4526237651051974,-0.07115666695511921,0.9771277064839351
2018,0.1400320911057489,0.9815820963973283,-0.17512048091138105,-0.41556525254960636,-0.6915984866640175,-0.5926537642967169,1.5553299958198827,-0.10728435528332085,1.4353361879948732,-1.007662947311558
2019,-0.15222461581201432,0.1076648440667763,-1.6940774758634027,-0.2124512350685178,0.8605968454730103,-0.6915984866640175,-0.40243794985410203,1.383056572105354,-0.10401600971549109,0.9771277064839351
2020,0.16957245293731166,-0.19554168394716195,-1.6548579568572628,-1.7717335511798222,0.5483025655012178,0.8605968454730103,0.1522944193070866,-0.02062227925006062,1.3666857270906898,-1.007662947311558
2021,-1.0575199656878782,0.13831197836759465,-1.4961317838752761,-1.7314728310699703,-0.9915246763398973,0.5483025655012178,-0.5548778730270041,0.6292310056329177,-0.01849593615711016,0.9771277064839351
2022,-1.709945757754729,-1.134755236162619,-1.1300628992915107,-1.5685327903332322,-0.8523836605108809,-0.9915246763398973,0.5997087333452742,-0.3280017592918157,0.6227938098214922,-1.007662947311558
2023,-1.9531715548283524,-1.8116251060985622,-0.41067944650271426,-1.19274549674492,-0.8152793896231432,-0.8523836605108809,-0.5134495646478049,0.9427938277899922,-0.32182487710492436,0.9771277064839351
2024,-2.071333002154603,-2.0639637101699053,-1.378406155621537,-0.4542638279652896,1.6645227147073274,-0.8152793896231432,-0.34582239566528067,-0.23367223156795872,0.9322246109686375,-1.007662947311558
2025,-2.32034505566946,-2.186552247373178,-2.037533088409027,-1.447681778158956,NA,1.6645227147073274,NA,0.07141550555655292,-0.22873839084794265,0.9771277064839351
